,pH,Cond,DOC,BLM-based chronic PNEC,BLM-based acute PNEC
0,7.722645034,387.0,3.533333333,10.457779,14.908837
1,8.43816171,302.3333333,2.133333333,5.0858445,7.0096383
2,7.962741366,419.3333333,2.3,5.7451215,9.8278885
3,7.228001344,660.0,3.3,13.473631,18.174639
4,8.316241031,186.0,1.366666667,3.155058,5.3208475
5,7.43816171,276.6666667,1.566666667,4.804399,8.941514
6,7.693577255,231.6666667,1.733333333,4.5131183,8.560353
7,8.008412543,191.0,2.266666667,5.78418,8.901143
8,7.642971351,141.3333333,1.0,2.7586188,5.7019506
9,7.519387168,199.0,1.566666667,4.635931,8.313908
10,7.752724375,180.6666667,1.233333333,3.0437765,6.464489
11,7.864046834,88.33333333,1.2,3.6889606,5.99026
12,7.968958437,217.3333333,2.933333333,7.766351,11.115178
13,7.734792109,1480.333333,9.266666667,30.64598,31.491364
14,7.966195228,141.6666667,1.933333333,5.256587,8.024764
15,7.666318187,357.3333333,3.266666667,9.887962,14.333862
16,7.517667147,550.6666667,3.8,14.7542515,17.72251
17,7.130843836,558.3333333,4.166666667,16.270008,21.784245
18,7.564279895,410.0,2.1,6.398088,11.098267
19,6.916284946,465.0,4.9,16.573517,25.408907
20,7.257007448,603.6666667,4.633333333,20.142654,22.917835
21,6.790197544,362.6666667,2.5,6.833898,14.212616
22,7.518119762,563.0,3.9,15.283985,18.093262
23,7.39235837,1006.333333,3.566666667,16.622091,18.94461
24,7.444026063,778.0,5.066666667,24.051197,23.153355
25,7.796492532,196.0,3.733333333,11.407705,14.663811
26,7.344026063,327.3333333,2.633333333,10.186884,13.596427
27,7.731287254,252.3333333,1.766666667,4.4734926,8.63101
28,7.644216512,322.6666667,2.833333333,8.419561,12.892066
29,7.930843836,317.3333333,3.766666667,10.199104,13.968742
30,7.664279895,247.6666667,3.566666667,11.255171,15.045079
31,7.866318187,271.6666667,4.766666667,14.019657,17.372385
32,7.59235837,317.6666667,3.366666667,10.962231,15.013985
33,7.416241031,869.0,4.966666667,24.504358,23.233265
34,7.763336204,474.0,4.1,12.421055,16.562119
35,8.179591483,775.6666667,5.833333333,19.159601,17.462471
36,7.419553478,191.6666667,2.9,11.503651,13.7203045
37,7.186459584,1343.333333,9.233333333,40.17092,40.952198
38,7.163336204,133.6666667,2.033333333,8.205791,10.543101
39,7.525426711,234.6666667,2.833333333,9.629944,13.166128
40,7.558332562,146.0,2.7,10.071541,12.374095
