,pH,Na,Mg,Ca,DOC,Alkalinity,Individual dissolved Cu,Annual dissolved Cu
0,7.9,4.18,1.48,8.07,1.2,23,1,1
1,7.6,95.33,6.94,47.14,4.4,40,1,1
2,7.6,2.71,2.27,12.98,10.9,61,1,1
3,7.6,3.03,2.32,12.55,2,33,1,1
4,7.5,40.93,5.66,37,3.7,33,1,1
5,7.6,48.86,5.81,32.93,3.3,64,1,1
6,7.1,36.4,5.33,28.7,3.2,54,1,1
7,7.8,13.63,3.28,27.58,2.6,62,1,1
8,7,38.25,4.41,28.72,4,60,1,1
9,7.2,28.87,4.11,26.72,4,63,1,1
10,7.2,8.21,4.19,18.72,2.7,49,1,1
11,7.2,20.15,5.7,30.26,2.7,71,1,1
12,7.5,23.4,4.61,27.14,2.8,73,1,1
13,7.2,6.75,3.19,14.84,4.2,62,1,1
14,8,6.82,5.1,22.01,4.2,66.3,1,1
15,7.3,13.01,7.85,36.09,4,85.7,1,1
16,8.1,17.06,3.53,18.6,1.8,53.8,1,1
17,8,18.69,5.99,26.64,3.6,72.4,1,1
18,7.9,16.63,4.97,21.53,4.2,62.8,1,1
19,7.9,10.79,4.69,21.85,4.4,57.3,1,1
20,8.3,10.41,5.9,26.08,6,69.2,1,1
21,7.6,20.14,4.15,21.02,4.6,64.1,1,1
22,7.6,36.05,6.08,42.69,6,70.5,1,1
23,8.1,11.88,5.59,22.87,6,63.7,1,1
24,8.7,38.28,7.2,31.92,7,76.7,1,1
25,8.8,10.03,2.7,14.64,3.8,45.9,1,1
26,7.8,37.84,10.82,53.12,8.1,84.7,1,1
27,7.8,7.16,2.36,12.05,2.7,38.8,1,1
28,8.9,7.63,3.82,19.06,3.3,53.5,1,1
29,9,5.65,2.15,9.25,3.4,28.9,1,1
30,9.4,10.35,3.39,15.2,4.9,43.2,1,1
31,7.2,11.14,2.92,13.95,3.4,40,1,1
32,9.3,15.71,3.29,17.29,6.9,47.6,1,1
33,8.2,36.55,6.47,23.37,7.6,70.8,1,1
34,7.73,19.159443,7.285002,29.91226766,1.8,73,1,1
35,7.77,9.941796,3.277337,21.03799475,2.5,56,1,1
36,7.87,13.58687,7.3496413,33.61339611,1.7,76,1,1
37,9.04,7.7850547,4.148208,16.02120376,1.7,48,1,1
38,8.04,13.639822,5.3492746,24.88561042,1.5,14,1,1
39,7.31,263.55154,6.4389052,64.12979511,10.5,172,1,1
40,7.56,23.517767,6.6415977,29.18125587,3.5,84,1,1
41,7.97,54.09014,5.4289594,35.32369716,3.6,62,1,1
42,7.06,11.367335,3.372227,18.64065007,1.9,56,1,1
43,7.36,32.93509,6.7610593,28.25693149,1.4,64,1,1
44,7.17,12.395169,5.2441306,20.31208509,1.7,49,1,1
45,7.14,8.805096,4.3375406,14.32339059,1.9,40,1,1
46,7.01,9.860925,3.8535166,14.27864119,2.7,44,1,1
47,7.22,12.207271,4.8413334,17.33325405,3.5,59,1,1
48,7.1,24.398428,5.529789,23.26766827,3.9,58,1,1
49,7.3,19.536474,4.967975,23.4403849,3.3,62,1,1
50,8.31,21.686844,5.2332115,21.48035913,5.9,70,1,1
51,7.38,99.233734,4.495426,25.23109767,5,59,1,1
52,7.13,13.04791,3.6472747,17.41195174,3.6,47,1,1
53,9.07,115.691315,12.639267,32.92020096,7.8,78,1,1
54,7.14,34.044548,7.553621,25.2021032,4.5,67,1,1
55,6.88,6.234743,3.0642734,12.25143429,5.2,30,1,1
56,7.01,9.452101,2.3711243,10.79853073,7.1,31,1,1
57,6.92,8.626266,4.5857034,15.43181227,2,45,1,1
58,7.28,24.679565,5.6626487,17.48875808,2.9,50,1,1
59,7.31,27.905882,6.7560983,25.62817883,4,69,1,1
60,6.88,64.367,6.21828,25.3086,6.04,53.4,1,1
61,7.78,22.0329,2.4146,57.4016,27.54,370.7,1,1
62,6.95,17.808,4.49906,19.061,6.4,57.7,1,1
63,7.98,24.733,4.36288,22.0824,5.82,52.3,1,1
64,6.81,59.7336,6.09422,25.2616,6.77,61.2,1,1
65,7.16,25.9654,4.37331,20.3339,6.6,41.1,1,1
66,7.55,13.3917,3.86492,18.4498,5.54,54.2,1,1
67,7.49,12.6466,5.07589,19.1493,5.85,48.2,1,1
68,7.08,12.1605,5.03009,20.8414,7.17,64,1,1
69,8.58,30.3039,4.73209,20.7905,8.59,61.5,1,1
70,7.21,8.70786,3.6508,16.4492,7.08,45.1,1,1
71,7.39,26.1707,4.51963,26.2069,14.42,48.3,1,1
72,9.49,21.6323,4.6986,19.3679,6.55,52,1,1
73,8.4,21.2075,4.57416,18.301,8.92,62.3,1,1
74,7.37,11.9408,4.06772,17.523,5.26,50.2,1,1
75,7.68,20.858,6.81187,23.5875,7.65,58.6,1,1
76,8.64,16.9416,4.66697,17.6187,6.85,45.3,1,1
77,6.91,10.4903,3.44589,12.5225,6.61,29.8,1,1
78,7.1,36.1145,7.52229,19.2684,6.85,51.2,1,1
79,8.27,12.5425,3.92685,17.8527,4.7,55.5,1,1
80,9.27,14.3834,3.47954,18.3583,5.06,48.1,1,1
81,8.81,5.48174,2.21721,9.00401,3.53,30.7,1,1
82,7.8,49.43,6.6,36.98,3.7,86,1,1
83,8.7,32.5,4.97,28.64,2.1,71,1,1
84,8.2,41.17,7.35,36.14,2.6,82,1,1
85,6.9,132.25,6.15,81.34,3,85,1,1
86,8.3,14.9,4.96,21.34,1.5,59,1,1
87,8,8.9,9.32,31.66,1.5,91,1,1
88,9.2,12.07,8.93,38.84,1.4,96,1,1
89,8.2,11.02,3.21,14.73,2,35,1,1
90,7.5,7.86,3.37,17.16,1.1,45,1,1
91,7.2,17.24,4.52,21.26,1.7,67,1,1
92,7.7,11.4,4.59,21.99,1.3,55,1,1
93,7.8,5.89,2.26,10.87,1.1,32,1,1
94,8.2,208.11,6.04,44.92,2.2,55,1,1
95,7.6,73.79,4.75,25.48,8,131,1,1
96,8.2,63.22,5.04,25.5,1.4,78,1,1
97,8.1,522.41,8.76,64.97,2.9,70,1,1
98,7.8,66.56,7.27,33.68,3.8,64,1,1
99,7.1,57.39,7.3,32.32,4.2,69,1,1
100,7.8,19.23,4.89,27.45,1.7,64,1,1
101,6.6,58.09,6.57,31.81,4.2,80,1,1
102,7.2,74.5,7.64,37.58,4.1,65,1,1
103,6.4,16.4,4.63,22.36,2.2,57,1,1
104,8.1,86.03,8.4,43.5,4.3,121,1,1
105,7.3,68.78,9.37,45.29,3.7,137,1,1
106,8.3,123.74,9.03,73.36,5,87,1,1
107,7.5,8.07,6.2,26.21,3.2,74.9,1,1
108,7.1,13.26,9.02,39.23,2.5,90.1,1,1
109,7.4,21.07,4.67,23.48,1.5,60.9,1,1
110,7.3,15.44,7.64,30.25,1.9,80.5,1,1
111,8,22.27,6.3,26.27,2.8,72.2,1,1
112,7.4,15.36,5.95,25,2.9,66.9,1,1
113,7.7,14.31,7.43,27.99,3.4,76,1,1
114,7.7,27.95,5.64,27.08,2.3,76.9,1,1
115,7.4,43,8.96,62.71,4.1,81.9,1,1
116,8.4,21.34,5.64,27.92,3.5,69.1,1,1
117,8.7,43.82,8.63,42,5.1,85.4,1,1
118,7.9,15.28,4.31,21.48,2.4,60.2,1,1
119,7,46.58,21.03,132.08,12.8,62.2,1,1
120,6.8,7.79,2.73,12.93,1.7,41.3,1,1
121,7.6,25.96,5.86,27.37,3.2,71.1,1,1
122,8.6,9.37,3.8,14.51,2.6,45.3,1,1
123,8.6,19.78,5.63,24.26,3.6,64.7,1,1
124,8.2,15.03,4.05,18.01,2.5,48.5,1,1
125,7.8,34.12,4.95,28.11,3.9,52.4,1,1
126,7.4,47.22,16.05,33.42,5.3,74.9,1,1
127,8.95,9.770112,4.4670515,18.42520621,1.7,46,1,1
128,7.53,15.207799,4.3996716,27.8830273,1.1,65,1,1
129,8.46,19.368467,8.433534,38.06887027,1.5,80,1,1
130,8.55,9.741942,5.6679726,22.69477579,1.8,59,1,1
131,8.44,20.102777,6.4720173,31.58493383,1.2,78,1,1
132,7.24,257.48572,8.561985,68.47647884,9.7,160,1,1
