,pH,Na,Mg,Ca,DOC,Alkalinity
0,7.9,4.18,1.48,8.07,1.2,23
1,7.6,95.33,6.94,47.14,4.4,40
2,7.6,2.71,2.27,12.98,10.9,61
3,7.6,3.03,2.32,12.55,2,33
4,7.5,40.93,5.66,37,3.7,33
5,7.6,48.86,5.81,32.93,3.3,64
6,7.1,36.4,5.33,28.7,3.2,54
7,7.8,13.63,3.28,27.58,2.6,62
8,7,38.25,4.41,28.72,4,60
9,7.2,28.87,4.11,26.72,4,63
10,7.2,8.21,4.19,18.72,2.7,49
11,7.2,20.15,5.7,30.26,2.7,71
12,7.5,23.4,4.61,27.14,2.8,73
13,7.2,6.75,3.19,14.84,4.2,62
14,8,6.82,5.1,22.01,4.2,66.3
15,7.3,13.01,7.85,36.09,4,85.7
16,8.1,17.06,3.53,18.6,1.8,53.8
17,8,18.69,5.99,26.64,3.6,72.4
18,7.9,16.63,4.97,21.53,4.2,62.8
19,7.9,10.79,4.69,21.85,4.4,57.3
20,8.3,10.41,5.9,26.08,6,69.2
21,7.6,20.14,4.15,21.02,4.6,64.1
22,7.6,36.05,6.08,42.69,6,70.5
23,8.1,11.88,5.59,22.87,6,63.7
24,8.7,38.28,7.2,31.92,7,76.7
25,8.8,10.03,2.7,14.64,3.8,45.9
26,7.8,37.84,10.82,53.12,8.1,84.7
27,7.8,7.16,2.36,12.05,2.7,38.8
28,8.9,7.63,3.82,19.06,3.3,53.5
29,9,5.65,2.15,9.25,3.4,28.9
30,9.4,10.35,3.39,15.2,4.9,43.2
31,7.2,11.14,2.92,13.95,3.4,40
32,9.3,15.71,3.29,17.29,6.9,47.6
33,8.2,36.55,6.47,23.37,7.6,70.8
34,7.73,19.159443,7.285002,29.91226766,1.8,73
35,7.77,9.941796,3.277337,21.03799475,2.5,56
36,7.87,13.58687,7.3496413,33.61339611,1.7,76
37,9.04,7.7850547,4.148208,16.02120376,1.7,48
38,8.04,13.639822,5.3492746,24.88561042,1.5,14
39,7.31,263.55154,6.4389052,64.12979511,10.5,172
40,7.56,23.517767,6.6415977,29.18125587,3.5,84
41,7.97,54.09014,5.4289594,35.32369716,3.6,62
42,7.06,11.367335,3.372227,18.64065007,1.9,56
43,7.36,32.93509,6.7610593,28.25693149,1.4,64
44,7.17,12.395169,5.2441306,20.31208509,1.7,49
45,7.14,8.805096,4.3375406,14.32339059,1.9,40
46,7.01,9.860925,3.8535166,14.27864119,2.7,44
47,7.22,12.207271,4.8413334,17.33325405,3.5,59
48,7.1,24.398428,5.529789,23.26766827,3.9,58
49,7.3,19.536474,4.967975,23.4403849,3.3,62
50,8.31,21.686844,5.2332115,21.48035913,5.9,70
51,7.38,99.233734,4.495426,25.23109767,5,59
52,7.13,13.04791,3.6472747,17.41195174,3.6,47
53,9.07,115.691315,12.639267,32.92020096,7.8,78
54,7.14,34.044548,7.553621,25.2021032,4.5,67
55,6.88,6.234743,3.0642734,12.25143429,5.2,30
56,7.01,9.452101,2.3711243,10.79853073,7.1,31
57,6.92,8.626266,4.5857034,15.43181227,2,45
58,7.28,24.679565,5.6626487,17.48875808,2.9,50
