source,Cond (§Á/§¯),pH,Na (mg/L),Mg (mg/L),Ca (mg/L),Alkalinity (§· CaCO3/L),DOC (mg/L)
1,387,7.722645034,35.46666667,5.27,31.37333333,77.33333333,3.533333333
2,302.3333333,8.43816171,20.4,3.693333333,23.18333333,62,2.133333333
3,419.3333333,7.962741366,27.67333333,6.503333333,32.02,71.66666667,2.3
4,660,7.228001344,84.96666667,5.213333333,56.05,73.33333333,3.3
5,186,8.316241031,9.983333333,3.69,16.75,43.66666667,1.366666667
6,276.6666667,7.43816171,6.87,8.106666667,31.15666667,88.66666667,1.566666667
7,231.6666667,7.693577255,9.423333333,6.146666667,27.9,73.33333333,1.733333333
8,191,8.008412543,9.873333333,3.2,17.32666667,45,2.266666667
9,141.3333333,7.642971351,5.143333333,2.36,12.36666667,31,1
10,199,7.519387168,11.22333333,3.45,17.21333333,47.33333333,1.566666667
11,180.6666667,7.752724375,7.79,3.526666667,17.01333333,40.66666667,1.233333333
12,88.33333333,7.864046834,4.816666667,1.71,8.68,23.66666667,1.2
13,217.3333333,7.968958437,106.4666667,5.456666667,36.19,45,2.933333333
14,1480.333333,7.734792109,112.0633333,4.91,30.10333333,104.3333333,9.266666667
15,141.6666667,7.966195228,23.58666667,4.17,19.63333333,59.33333333,1.933333333
16,357.3333333,7.666318187,204.28,6.206666667,41.89333333,51.66666667,3.266666667
17,550.6666667,7.517667147,53.44333333,6.373333333,33.21333333,66.66666667,3.8
18,558.3333333,7.130843836,48.72,6.596666667,31.77333333,66,4.166666667
19,410,7.564279895,16.34333333,4.253333333,28.09666667,65.33333333,2.1
20,465,6.916284946,49.45666667,5.7,31.21333333,72.66666667,4.9
21,603.6666667,7.257007448,57.00666667,6.29,34.44666667,74.33333333,4.633333333
22,362.6666667,6.790197544,11.97333333,4.403333333,21.72333333,58.33333333,2.5
23,563,7.518119762,48.20666667,6.836666667,35.92,95.33333333,3.9
24,1006.333333,7.39235837,39.61,6.48,33.65666667,99,3.566666667
25,778,7.444026063,72.09333333,6.91,50.09,83,5.066666667
26,196,7.796492532,6.853333333,5.18,22.31,67.06666667,3.733333333
27,327.3333333,7.344026063,12.54333333,7.513333333,34.83333333,82.93333333,2.633333333
